business_type,city_tier,years_operating,monthly_revenue,decision_maker,key_decision_factor,packaging_type,monthly_volume,monthly_spend,sustainability_importance,customer_demand,switch_barrier,switch_likelihood
Cloud Kitchen,Tier 1,3-5,5-10L,Manager,Quality,Biodegradable,1000-5000,10K-50K,Low,Medium,Supply,Neutral
Catering,Tier 1,5+,<2L,Manager,Cost,Plastic,1000-5000,10K-50K,Low,Medium,Cost,Very Unlikely
Retail,Tier 3,3-5,10-25L,Owner,Cost,Plastic,5000-10000,50K-1L,Medium,Medium,Cost,Very Unlikely
Retail,Tier 1,<1,5-10L,Multiple,Brand,Biodegradable,<1000,10K-50K,Low,Medium,Supply,Neutral
Restaurant,Tier 1,<1,<2L,Manager,Quality,Paper,<1000,<10K,High,High,Quality,Very Likely
Restaurant,Tier 3,1-3,25L+,Owner,Customer Experience,Mixed,5000-10000,1L-5L,Low,Low,Supply,Unlikely
Restaurant,Tier 2,1-3,5-10L,Procurement,Cost,Paper,<1000,10K-50K,Medium,Low,Awareness,Unlikely
E-commerce,Tier 3,1-3,<2L,Owner,Brand,Mixed,1000-5000,10K-50K,Low,High,Cost,Unlikely
Retail,Tier 1,3-5,5-10L,Manager,Compliance,Paper,1000-5000,<10K,Medium,Medium,Supply,Neutral
Retail,Tier 2,<1,2-5L,Owner,Compliance,Mixed,<1000,<10K,Medium,Low,Cost,Very Unlikely
Restaurant,Tier 1,<1,10-25L,Procurement,Customer Experience,Mixed,1000-5000,10K-50K,Low,Medium,Quality,Neutral
Catering,Tier 1,1-3,10-25L,Owner,Compliance,Plastic,5000-10000,1L-5L,Medium,High,Cost,Neutral
E-commerce,Tier 3,3-5,25L+,Manager,Customer Experience,Mixed,5000-10000,50K-1L,Medium,High,Cost,Unlikely
Restaurant,Tier 1,<1,5-10L,Owner,Cost,Mixed,<1000,<10K,High,Medium,Cost,Neutral
Restaurant,Tier 2,3-5,2-5L,Manager,Quality,Plastic,<1000,<10K,Low,Low,Cost,Very Unlikely
Restaurant,Tier 2,1-3,10-25L,Procurement,Cost,Paper,5000-10000,1L-5L,Medium,High,Awareness,Likely
Restaurant,Tier 1,5+,<2L,Owner,Cost,Plastic,<1000,<10K,High,Medium,Supply,Very Likely
Cloud Kitchen,Tier 3,5+,5-10L,Manager,Cost,Mixed,1000-5000,<10K,High,High,Awareness,Very Likely
Cloud Kitchen,Tier 1,1-3,5-10L,Owner,Cost,Plastic,<1000,<10K,High,Low,Quality,Very Likely
Restaurant,Tier 2,1-3,<2L,Procurement,Cost,Plastic,1000-5000,<10K,High,Low,Cost,Unlikely
Retail,Tier 3,1-3,2-5L,Owner,Cost,Paper,<1000,<10K,Medium,Medium,Cost,Very Unlikely
Restaurant,Tier 2,1-3,10-25L,Procurement,Cost,Paper,5000-10000,50K-1L,Medium,Low,Cost,Very Unlikely
Restaurant,Tier 3,3-5,10-25L,Procurement,Customer Experience,Mixed,5000-10000,50K-1L,Low,Medium,Cost,Very Unlikely
Cloud Kitchen,Tier 1,5+,<2L,Owner,Cost,Mixed,1000-5000,10K-50K,Medium,High,Supply,Very Likely
Cloud Kitchen,Tier 2,3-5,<2L,Owner,Compliance,Paper,<1000,<10K,High,Medium,Quality,Likely
E-commerce,Tier 1,5+,2-5L,Owner,Cost,Plastic,<1000,10K-50K,Medium,High,Cost,Neutral
Restaurant,Tier 2,1-3,10-25L,Procurement,Customer Experience,Biodegradable,1000-5000,10K-50K,High,Medium,Cost,Unlikely
Cloud Kitchen,Tier 3,<1,<2L,Owner,Customer Experience,Paper,<1000,<10K,High,High,Cost,Likely
Retail,Tier 1,3-5,5-10L,Manager,Brand,Paper,1000-5000,10K-50K,Low,High,Cost,Neutral
Restaurant,Tier 2,1-3,<2L,Procurement,Brand,Plastic,<1000,10K-50K,High,Medium,Cost,Unlikely
Retail,Tier 1,3-5,5-10L,Owner,Cost,Paper,<1000,<10K,Medium,Medium,Supply,Neutral
Restaurant,Tier 2,1-3,2-5L,Manager,Customer Experience,Plastic,<1000,10K-50K,Low,Medium,Cost,Very Unlikely
Restaurant,Tier 2,<1,10-25L,Owner,Customer Experience,Biodegradable,1000-5000,<10K,High,Medium,Supply,Likely
Catering,Tier 3,5+,2-5L,Owner,Customer Experience,Paper,<1000,<10K,Medium,Low,Cost,Very Unlikely
Catering,Tier 2,<1,5-10L,Procurement,Brand,Mixed,<1000,<10K,High,High,Cost,Likely
E-commerce,Tier 1,5+,2-5L,Owner,Cost,Paper,<1000,<10K,Medium,High,Supply,Very Likely
Restaurant,Tier 1,5+,5-10L,Owner,Customer Experience,Plastic,1000-5000,<10K,Medium,Medium,Quality,Neutral
Restaurant,Tier 1,3-5,10-25L,Procurement,Cost,Mixed,1000-5000,<10K,High,Medium,Cost,Neutral
Retail,Tier 1,3-5,<2L,Owner,Quality,Paper,1000-5000,<10K,Medium,Medium,Awareness,Neutral
Cloud Kitchen,Tier 1,3-5,10-25L,Multiple,Cost,Plastic,1000-5000,10K-50K,Medium,Medium,Cost,Very Unlikely
